,box,txt,score
0,"[[186.0, 80.0], [446.0, 72.0], [447.0, 122.0], [188.0, 130.0]]",上海交通大学,0.9585862755775452
1,"[[916.0, 85.0], [1049.0, 85.0], [1049.0, 118.0], [916.0, 118.0]]",学术讲座,0.9084521532058716
2,"[[491.0, 96.0], [783.0, 96.0], [783.0, 128.0], [491.0, 128.0]]",计算机科学与工程系,0.8291332721710205
3,"[[947.0, 120.0], [1023.0, 120.0], [1023.0, 161.0], [947.0, 161.0]]",系列,0.9996011853218079
4,"[[185.0, 135.0], [447.0, 135.0], [447.0, 154.0], [185.0, 154.0]]",SHANGHAI JIAOTONGUNIVERSITY,0.926572859287262
5,"[[111.0, 207.0], [898.0, 211.0], [897.0, 261.0], [111.0, 257.0]]",Adversarial Robustness:,0.8981508016586304
6,"[[107.0, 276.0], [1064.0, 281.0], [1064.0, 329.0], [107.0, 324.0]]",Foundations andApplications,0.9074790477752686
7,"[[431.0, 390.0], [833.0, 396.0], [832.0, 442.0], [430.0, 436.0]]",Jingfeng Zhang,0.9758473634719849
8,"[[423.0, 446.0], [680.0, 450.0], [679.0, 481.0], [423.0, 477.0]]","RIKEN-AIP, Japan",0.9213092923164368
9,"[[436.0, 529.0], [580.0, 529.0], [580.0, 555.0], [436.0, 555.0]]",Abstract:,0.9344502687454224
10,"[[432.0, 562.0], [1128.0, 562.0], [1128.0, 588.0], [432.0, 588.0]]",As machine learning (ML) models are reaching accu-,0.9361026287078857
11,"[[432.0, 592.0], [1128.0, 592.0], [1128.0, 618.0], [432.0, 618.0]]","racy levels suitable for real-world applications, it is",0.9411576986312866
12,"[[432.0, 623.0], [1128.0, 623.0], [1128.0, 649.0], [432.0, 649.0]]",crucial to recognize that accuracy is not the only,0.9280300736427307
13,"[[432.0, 653.0], [1127.0, 653.0], [1127.0, 679.0], [432.0, 679.0]]",benchmark that matters. Developers must actively,0.900433361530304
14,"[[432.0, 686.0], [1130.0, 686.0], [1130.0, 712.0], [432.0, 712.0]]",prepare ML models to be robust enough in the wild,0.916472315788269
15,"[[432.0, 718.0], [1127.0, 716.0], [1127.0, 742.0], [432.0, 744.0]]","against any attempts to hack them. However, the ML",0.9183170795440674
16,"[[434.0, 747.0], [1132.0, 747.0], [1132.0, 773.0], [434.0, 773.0]]",models obtained by standard training (sT) cannot,0.8788557052612305
