,讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
0,"
                        讲座：Automated Forensic Analysis of Mobile Applications on Android Devices",Presenter:Dr.Xiaodong Lin,"Talk Time:Monday, May 20, 2019, 14:00,","Location:SEIEE,3-308",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=370,"
                    发布时间：2019-05-17","Abstract:It is not uncommon that mobilephones are involved in criminalactivities, e.g.,the surreptitious collection of credit card information. Forensic analysis of mobileapplications plays a crucial part in order to gather evidences against criminals. However,traditional forensic approaches,which are based onmanual investigation, are not scalabletothelarge number of mobile applications. On the other hand, dynamic analysis is hard to automatedue to the burden of setting up the proper runtime environment to accommodate Os differencesand dependent libraries and activate all feasible program paths. In this talk, we introduce a fullyautomated tool, Fordroid for the forensic analysis of mobile applications on Android. Fordroidconducts inter-component static analysis on Android APKs and builds control flow and datadependency graphs. Furthermore, Fordroid identifies what and where information written in localstorage with taint analysis. Data is located by traversing the graphs. This addresses severaltechnique challenges, which include inter-component string propagation, string operations (e.g.,append) and APl invocations. Also, Fordroid identifies how the information is stored by parsingSQLcommands,i.e.,the structure of databasetables.Finally,we selected 1oo random Androidapplications consisting of 2841 components from four categories for evaluation. Analysis of allapps took 64h.Fordroiddiscovered469paths in36 applications that wrote sensitive information(e.g.,GPS)tolocal storage.Furthermore,Fordroidsuccessfullylocatedwherethe information","Bio:Xiaodong Lin received the PhD degree in Information Engineering from Beijing University ofPosts and Telecommunications, China, and the PhD degree (with Outstanding Achievement inGraduateStudiesAward)inElectrical andComputerEngineeringfromtheUniversityofWaterloo,Canada.He is currently a tenuredAssociate Professorat the School of Computer Science at theUniversity of Guelph, Canada. His research interests include wireless communications andnetworksecurity,computerforensics,softwaresecurity,andappliedcryptography.Dr.Linservesas an Associate Editor for many international journals. He has served or is serving as a guesteditorformanyspecial issuesofIEEE,ElsevierandSpringerjournalsandasasymposiumchairortrack chairforIEEE/ACMconferences.Healsoservedonmanyprogramcommittees.HewasChair of Communications and Information Security Technical Committee (CISTC) IEEE"
1,"
                        讲座：Cybersecurity and Privacy:State-of-Art, Challenges, and Opportunities","Presenter: Dr.Rongxing LuProfessor,","Talk Time:Monday,May20, 2019, 10:00am,","Location:SEIEE,3-308",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=371,"
                    发布时间：2019-05-17","Abstract:The pervasiveness of information and communications technologiesas well as intelligent electronic devices leads to an expanded attacksurface in smart grids, making it increasingly challenging to withstand the high-profile false datainjection (FDl) attacks. In this talk, we discuss a proactive approach to mitigate FDl attacks(PAMA) in smart grids. With PAMA scheme, the critical information -power grid connections andconfigurations as well as the original measurement data - used for constructing FDl attacks iswell protected from leakage or theft, so that FDl attacks are effectively mitigated. Specifically, wetransform the state estimation and FDl detection application into a distributed one equipped withconverted information from the critical information provided by the control center. In addition, theoriginal measurement data is also protected by using a secure hybrid Paillier cryptosystem. OurPAMA scheme is proved to be secure and effective in mitigating FDI attacks on smart grids. Thecomputational complexity and the communication overhead are evaluated on the standard IEEE",Bio:Rongxing Lu (S' 99-M' 11-SM' 15) has been an assistant professor at the Faculty of
2,"
                        讲座：PAMA: A Proactive Approach to Mitigate False Data Injection Attacks in Smart Grids","Presenter: Dr. Shui Yu Professor,","Talk Time: Monday, May 20, 2019, 10:00am,","Location:SEIEE,3-308",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=372,"
                    发布时间：2019-05-17","Abstract:CybersecurityandprivacyaretwohottopicsinoursocietyHowever,both of them are mainly uncharted territories, and","Bio:Shui Yu is a Professor of School of Software, University of Technology Sydney,Australia. Dr Yu' s research interest includes Security and Privacy, Networking, BigData,and Mathematical Modelling.Hehas published twomonographs and editedconferences, such as IEEE TPDS,TC, TIFS,TMC,TKDE, TETC, ToN, andINFOCOM. Dr Yu initiated the research field of networking for big data in 2013. Hish-index is 36.Dr Yu actively serves his research communities in various roles. He iscurrently serving a number of prestigious editorial boards, including IEEECommunications Surveys and Tutorials (Area Editor), IEEE CommunicationsMagazine (Series Editor). He has served many international conferences as amemberoforganizingcommittee,suchaspublicationchairforIEEEGlobecom2o15,IEEE INFOCOM 2016 and 2017, and general chair for ACSW 2017. He is a SeniorMember of IEEE, a member of AAAS and ACM, and a Distinguished Lecturer of"
3,"
                        讲座：Space-Air-Ground(SAG) Integrated Vehicular Networks","Presenter: Dr. Xuemin (Sherman) Shen, Professor,","Talk Time: Monday, May 20, 2019, 10:00am,","Location:SEIEE,3-308",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=373,"
                    发布时间：2019-05-17","Abstract:In this talk, we first introduce connected vehicles andautomateddriving.Wethenpresenttherelatedapplications,challengesandscientificresearch issues. To realize full automated driving anywhere at any time under anycondition, it is required the sufficient network coverage and dynamic networkdeployment.Space-Air-Ground (SAG)Integratedvehicularnetworkscanprovidethesolution.We will show thedetail development of our SAG simulatorand somedemosBio:Xuemin (Sherman) Shen is a University Professor, and Associate Chair forWaterloo, Canada. Dr. Shen's research focuses on wireless resource management,wirelessnetworksecurity,smartgridandvehicularadhocandsensornetworks.HeistheEditor-in-ChiefofIEEEloTJ.HeservesastheGeneralChairforMobihoc'15,theTechnicalProgramCommitteeChairforIEEEGlobecom'16,IEEEInfocom'14,IEEEVTC'10, the Symposia Chair for IEEE ICC'10, the Technical Program CommitteeChairforIEEEGlobecom'o7,theChairforIEEECommunicationsSocietyTechnicalCommitteeonWirelessCommunications.Dr.ShenisanelectedIEEEComSocVicePresident - Publications, the chair of IEEE ComSoc Distinguish Lecturer selectioncommittee,and a member of IEEE ComSoc Fellow evaluation committee.Dr.Shen","Bio:Xuemin (Sherman) Shen is a University Professor, and Associate Chair forWaterloo, Canada. Dr. Shen's research focuses on wireless resource management,wirelessnetworksecurity,smartgridandvehicularadhocandsensornetworks.HeistheEditor-in-ChiefofIEEEloTJ.HeservesastheGeneralChairforMobihoc'15,theTechnicalProgramCommitteeChairforIEEEGlobecom'16,IEEEInfocom'14,IEEEVTC'10, the Symposia Chair for IEEE ICC'10, the Technical Program CommitteeChairforIEEEGlobecom'o7,theChairforIEEECommunicationsSocietyTechnicalCommitteeonWirelessCommunications.Dr.ShenisanelectedIEEEComSocVicePresident - Publications, the chair of IEEE ComSoc Distinguish Lecturer selectioncommittee,and a member of IEEE ComSoc Fellow evaluation committee.Dr.Shen"
4,"
                        讲座：Erasure Codes for Distributed Storage Systems",主讲人简介：,讲座时间：2019年5月23日周四12：30-14：00,讲座地点：电信群楼3-410,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=374,"
                    发布时间：2019-05-20",,主讲人简介：
5,"
                        讲座：Signal Processing Approaches to Sensing without Sensors",Presenter:Dr.AlexX.Liu,"Talk Time:June12,4:00PM, Wednesday","Location:SEIEE,3-412",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=375,"
                    发布时间：2019-06-04","Abstract:Human activityrecognition is the core technology thatenablesawidevarietyofapplicationssuchaselderly/healthcare,building surveillance,human-computer interaction,health care,smart homes, and fitness tracking.In this talk,wepresent our work on recognizing human activities using WiFi, acoustic, and RFIDsignals, respectively.Human bodies reflect wireless signals and different humanactivities cause different changes on wireless signals, Thus, by analyzing the changes inwireless signals, we can recognize the corresponding human activities that cause the","Bio:Alex X.Liu received hisPh.D.degree in Computer Science from TheUniversity ofTexasatAustinin2006,andiscurrentlya Professorof theDepartmentof ComputerScience and Engineering at Michigan State University.He receivedtheIEEE & IFipWilliamC.CarterAward in2004,aNational ScienceFoundationCAREERaward in2009,the MichiganState UniversityWithrowDistinguished Scholar (Junior)Award in 2011,and the Michigan State University Withrow Distinguished Scholar (Senior) Award in2019.Hehas served as anEditor forIEEE/ACMTransactions onNetworking.and heiscurrently an AssociateEditor for IEEETransactions on Dependable and SecureComputing,IEEETransactionsonMobileComputinq,andanAreaEditorforComputerCommunications.He hasserved as theTPC Co-Chair forICNP 2014 and IFIPNetworking2019.HereceivedBestPaperAwardsfromSECON-2018,ICNP-2012,SRDS"
6,"
                        讲座：Causal Discovery and Prediction in the Presence of Distribution Shifts","Speaker: Biwei Huang, Carnegie Mellon University (CMU)","Time:10:00-11:00am,July15,2019","Venue:Room412,SEIEEbuilding#3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=386,"
                    发布时间：2019-07-10","Abstract:Manytasks in empirical sciences or engineering relyontheunderlying causal information. As it is often difficult to carryout randomized experiments, inferring causal relations frompurelyobservational data,known as thetask of causaldiscovery,hasdrawnmuchattention.Overthelastfewyearswith the rapid accumulation of huge volumes of data, causaldiscovery is facing exciting opportunities but also greatchallenges.Onefeaturesuchdataoftenexhibitisdistributionshift.In thistalk,Iwillpresenta principled framework forcausaldiscoveryfromsuchdata,calledConstraint-basedcausal Discovery fromheterogeneous/NOnstationary Data (CD-NOD).Iwillthen showhow to efficiently estimate the “driving force"" of changing causal mechanisms after","Speaker: Biwei Huang, Carnegie Mellon University (CMU)"
7,"
                        讲座：Privacy-aware Document Ranking for Search","Speaker: Dr. Tao Yang, Professor","Time:14:00-15:30July16,2019",Venue:SEIEE3-412,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=387,"
                    发布时间：2019-07-10","Abstract:Assensitiveinformationisincreasinglycentralized into the cloud, for the protection of dataprivacy, such data is often encrypted, which makes effective data indexing andsearchaverychallengingtask.Hidingfeatureinformationthroughencryption","Speaker: Dr. Tao Yang, Professor"
8,"
                        讲座：Privacy Risks of Machine Learning Models","Presenter: Dr. Yang, Zhang","Talk Time: Friday, July 19, 2019, 10:00am",Location:SEIEE3-412,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=388,"
                    发布时间：2019-07-10","Abstract:Machinelearninghaswitnessedtremendousprogressduring the past decade. While keeping on improving our lifequality,machinelearning models may raise severe concerns towards people'sprivacy.Inthistalk,Iwillcoverourrecentworkonassessingprivacyrisksstemmingagainst machine learning models. We show how to relax adversary's assumptions toachieve a model and data independent membership inference attack. Then, I willdiscuss our work on attacking online learning systems. We propose four effectiveattacks in this surface, ranging from predicting attributes of the dataset used toupdate a machine learning model to reconstructing the updating dataset itself. In the",Bio:Yang Zhang (https://yangzhangalmo.github.io/) is a research group leader at
9,"
                        讲座：A Framework for Describing Tensor Computations",Speaker:Professor Daniel Povey,"Time:14:30-16:00Sep9,2019",Venue:Room412.SEIEE-3,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=393,"
                    发布时间：2019-09-05","Abstract:Manysoftwaretoolkitsfor machinelearninghave arebased ona NumPy-like modelfor computation,based ontensors.In thiscontext,atensorisann-dimensional array ofaparticular data-type (say,float).In such toolkits there is often alack of clarity in the documentation,particularly regarding allowable memorylayouts.Wepresenta mathematical frameworkfordescribingtensorlayouts in memory,which makes it possibleto clearlydescribetypical operations ontensors and theirrequirementsontheinputtensors'layout.Asanexampleoftheutilityofthisframework,weapplyittotheproblemofcomputingtheregionofoverlap inmemorybetweentwotensors--a surprisingly non-trivial problem. This problem arises in certain approachesto verifyingthe correctnessof autogradgraphs.Wealsoshowhowthe frameworkcan",Bio:DanielPoveycompletedhisPhDatCambridgeUniversityin2oo3.Hespentabouttenyears workingforindustryresearchlabs(IBMResearchandthenMicrosoft
