,box,txt,score
0,"[[347.0, 68.0], [948.0, 72.0], [948.0, 104.0], [347.0, 100.0]]",高可信软件技术教育部重点实验室学术报告,0.9431357979774475
1,"[[109.0, 180.0], [985.0, 180.0], [985.0, 216.0], [109.0, 216.0]]",图灵奖获得者RobertKahn北京大学学术报告,0.9460263252258301
2,"[[66.0, 532.0], [876.0, 532.0], [876.0, 559.0], [66.0, 559.0]]",题目：UniversalInteroperabilityAcrossInformationSystems,0.9183565378189087
3,"[[61.0, 600.0], [129.0, 596.0], [131.0, 628.0], [62.0, 632.0]]",摘要：,0.8613778948783875
4,"[[84.0, 648.0], [1016.0, 648.0], [1016.0, 670.0], [84.0, 670.0]]","From time to time,information systems that werenotoriginally designed to work togetherwill",0.8884377479553223
5,"[[64.0, 683.0], [1012.0, 683.0], [1012.0, 705.0], [64.0, 705.0]]","needtointeract,oftenforurgentandtime-sensitivereasons.Specificproposalsandimplementa",0.942236602306366
6,"[[63.0, 718.0], [1017.0, 718.0], [1017.0, 740.0], [63.0, 740.0]]","tionshavebeendeveloped,suchasforself-drivingcarsornationalhealthinformationsystems,but",0.9286975264549255
7,"[[61.0, 750.0], [1017.0, 750.0], [1017.0, 777.0], [61.0, 777.0]]","a more universal approach is needed. For example, travelers to different countries may need doc-",0.9367783665657043
8,"[[63.0, 786.0], [1017.0, 786.0], [1017.0, 809.0], [63.0, 809.0]]","torslocatedabroadtoaccesstheirhealthrecords,oraircraftindistressmayneedtocommunicate",0.9355320930480957
9,"[[63.0, 821.0], [1017.0, 821.0], [1017.0, 842.0], [63.0, 842.0]]",withcarsonthegroundtoland safelyonhighways.Thistalkwill focusonuseoftheDigital Object,0.9678626656532288
10,"[[61.0, 852.0], [1017.0, 853.0], [1017.0, 880.0], [61.0, 879.0]]",Interface Protocol (DOlP) as a general means of achieving interoperability across arbitrary informa-,0.9440467357635498
11,"[[61.0, 890.0], [723.0, 890.0], [723.0, 912.0], [61.0, 912.0]]",tionsystemsprimarilybyexchangeofuniqueresolvableidentifiers.,0.9430419206619263
12,"[[64.0, 945.0], [219.0, 945.0], [219.0, 974.0], [64.0, 974.0]]",主讲人简介：,0.9833199977874756
13,"[[88.0, 990.0], [1017.0, 990.0], [1017.0, 1011.0], [88.0, 1011.0]]",RobertE.Kahn博士于1960年从纽约城市大学获得学士学位，1962年和1964年分别从普林斯顿大学获得其,0.9438346028327942
14,"[[63.0, 1022.0], [1004.0, 1023.0], [1004.0, 1046.0], [63.0, 1044.0]]",硕士和博士学位，先后加入贝尔实验室和BBN（Bolt，BeranekandNewman）工作。在BBN工作期间，,0.9672003984451294
15,"[[63.0, 1058.0], [1014.0, 1058.0], [1014.0, 1079.0], [63.0, 1079.0]]",RobertE.Kahn博士参加并领导了ARPANET（即互联网的前身）的研发工作。1972年，Kahn博士加入了,0.9469437599182129
16,"[[63.0, 1092.0], [1017.0, 1092.0], [1017.0, 1114.0], [63.0, 1114.0]]",DARPA，成为信息处理技术部的部门主管。在DARPA期间，RobertE.Kahn博士领导设计并实现了TCP/IP协,0.94877028465271
17,"[[63.0, 1127.0], [1017.0, 1127.0], [1017.0, 1149.0], [63.0, 1149.0]]",议。TCP/IP协议已经成为互联网（Internet）最为核心的通讯基础协议，RobertE.Kahn博士也因此被称作,0.9517861604690552
18,"[[64.0, 1160.0], [850.0, 1160.0], [850.0, 1181.0], [64.0, 1181.0]]",互联网之父”。同时，Kahn博士还是“信息高速公路”这一广为人知的技术概念的创立人,0.9207421541213989
19,"[[96.0, 1195.0], [1021.0, 1195.0], [1021.0, 1218.0], [96.0, 1218.0]]",RobertE.Kahn博士获得过多项世界级的科学奖项，包括马可尼国际奖（1994年）、美国国家技术奖章（,0.966460108757019
20,"[[64.0, 1230.0], [1017.0, 1230.0], [1017.0, 1251.0], [64.0, 1251.0]]",1997年）、国际电子电气工程师协会（IEEE）颁发的亚历山大·贝尔奖（1997）等。2004年，由于在TCP/IP,0.9359312653541565
21,"[[64.0, 1265.0], [1012.0, 1265.0], [1012.0, 1286.0], [64.0, 1286.0]]",协议上的重大贡献和计算机网络领域的权威性领导地位，RobertE.Kahn博士被授予计算机领域的最高荣誉一,0.9398438334465027
22,"[[63.0, 1297.0], [818.0, 1299.0], [818.0, 1321.0], [63.0, 1319.0]]",美国计算机学会图灵奖（ACMTuringAward），以表彰其在互联网领域先驱性的贡献。,0.9254089593887329
23,"[[251.0, 1393.0], [831.0, 1393.0], [831.0, 1420.0], [251.0, 1420.0]]",时间：2019年10月11日（周五）9:30,0.955491840839386
24,"[[249.0, 1426.0], [749.0, 1426.0], [749.0, 1453.0], [249.0, 1453.0]]",地点：中关新园1号楼科学报告厅,0.9793092012405396
