讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
学术报告：Flag-transitive symmetric 2-designs of prime order,报告人：周胜林教授（华南理工大学）,2023-06-10,地点：数学与信息学院201教室,华南农业大学,https://info.scau.edu.cn/2023/0602/c12892a348448/page.htm,2023-06-02,"摘要：In this talk, I will introduce a new result on a class of symmetric 2-designs which is regarded as a natural generalization of the projective planes in terms of parameters. Let $\mathcal D$ be a symmetric $2$-$(v,k,\lambda)$ designs, where $\lambda&gt;1$ and the order $n=k-\lambda$ of $\mathcal D$ is a prime number. We show that if $G\leq Aut({\mathecal D})$ is flag-transitive then $G$ is point-primitive, and it is of affine or almost simple type. This is a joint work with Dr. Ziwei Lu.","报告人简介：华南理工大学数学学院教授，博士生导师。主要从事有限群与组合设计方面的研究，2007年入选华南理工大学百人计划“杰出青年教师”，2013年入选广东省高校“千百十工程”省级培养对象，在J.Combin.Theory Series A, Europ.J. Combin.,Discrete Math., Designs Codes and Cryptography等学术期刊上发表科研论文80余篇，主持过多项国家省部级自然科学基金项目。"
学术报告：A proof of a conjecture on the distance spectral radius,报告人：周波 教授（华南师范大学）,2023-06-10,地点：数学与信息学院201报告厅,华南农业大学,https://info.scau.edu.cn/2023/0602/c12892a348447/page.htm,2023-06-02,"摘要：The distance spectral radius of a connected graph or hypergraph is the largest eigenvalue of its distance matrix. S.S. Bose, M. Nath, S. Paul [Linear Algebra Appl. 437 (2012) 2128--2141] conjectured that a specific cactus uniquely maximizes the distance spectral radius among all cacti with given order and number of cycles. We show this is true via the hypergraphs. This is joint work with Yanna Wang.。",报告人简介：华南师范大学教授，博士生导师。主要兴趣包括组合矩阵论、代数图论以及数学化学，近年来主要研究图与超图的谱理论。获霍英东教育基金会高等院校青年教师奖(2002)、广东省科学技术二等奖(2000)及广东省自然科学优秀学术论文一等奖(2001)。与合作者发表科研论文100多篇，主持过多项国家及广东省自然科学基金项目的研究。
学术报告：半监督节点分类的图重训练网络,报告人：樊锁海教授(暨南大学),2023-06-10,地点：数学与信息学院201报告厅,华南农业大学,https://info.scau.edu.cn/2023/0602/c12892a348446/page.htm,2023-06-02,摘要：介绍图神经网络（GNN）在图节点分类中的应用，以及我们提出的图重训练神经网络（GRNN）在半监督节点分类的工作。,"报告人简介：暨南大学信息科学技术学院教授，暨南大学伯明翰大学联合学院副院长。1993年获兰州大学理学博士学位，博士毕业后到暨南大学数学系工作，2001年任教授。研究兴趣涉及代数图论、智能算法、复杂网络等。近五年来在复杂网络演化博弈、演化算法与群体智能、机器学习、图染色等领域的相关研究论文发表在Applied Mathematics and Computation，Chaos: An Interdisciplinary Journal of Nonlinear Science，Physica A: Statistical Mechanics and Its Applications，EPL (Europhysics Letters)，Applied Soft Computing，BMC Bioinformatics，IEEE Transactions on Cybernetics, Discrete Mathematics等期刊上。研究成果获国务院侨办科技进步奖二等奖、广东省高校科技进步奖三等奖、广东省自然科学优秀论文三等奖，并入编《广东科技志》。获暨南大学优秀教师、师德标兵、优秀研究生指导教师等荣誉称号，是暨南大学本科教学校长奖（教学贡献奖）获得者，2015年还获得南粤优秀教师的荣誉称号。"
关于广东省图象图形学会农业机器视觉专委会成立大会暨学术报告通知,报告人：金连文，华南理工大学二级教授,2023-05-27,"地点
华南农业大学数学与信息学院201会议室、500报告厅",华南农业大学,https://info.scau.edu.cn/2023/0522/c12892a347121/page.htm,2023-05-22,,
学术报告：Two Triangles: Complexity / Inverse Power Law / Fractional Calculus; and  Fractional Calculus / Renormalization Group / Machine Learning (FC-RG-ML),"报告人：Prof. YangQuan Chen, ( University of California,Merced)",2023-05-17,地点：数学与信息学院数学系715会议室,华南农业大学,https://info.scau.edu.cn/2023/0512/c12892a346197/page.htm,2023-05-12,"摘要：In the 1st?part of this talk, I will introduce a triangle that connects “complexity”, “inverse power law” (IPL) and “fractional calculus” (FC). The key message is that, to better understand complexity one has to use FC. Based on this foundation, in the 2nd?part of this talk, I will mainly discuss how FC, renormalization group (RG) theory and machine learning (ML) are connected. FC has been shown to help us better understand complex systems, improve the processing of complex signals, enhance the control of complex networks, increase optimization performance, and even extend the enabling of the potential for creativity. RG allows one to investigate the changes of a dynamical system at different scales. Although extensive research has been carried out on the three topics separately, few studies have investigated the association triangle between the FC, RG, and ML. In the FC and RG, scaling laws reveal the complexity of the phenomena discussed. It is emphasized that the FC's and RG's critical connection is the form of inverse power laws (IPL), and the IPL index provides a measure of the level of complexity. For FC and ML, the critical connections in big data, wherein variability, optimization, and non-local models are described. In the end, the association between the RG and ML is also explained. The mutual information, feature extraction, and locality are also discussed. Many of the cross-sectional studies suggest a connection between the RG and ML. It is shown that the new triangle between FC, RG, and ML, forms a stool on which the foundation to complexity science might comfortably sit for a wide range of future research topics.","教授简介：YangQuan Chen earned his Ph.D. from Nanyang Technological University, Singapore, in 1998. He had been a faculty of Electrical Engineering at Utah State University (USU) from 2000-12. He joined the School of Engineering, University of California, Merced (UCM) in summer 2012 teaching “Mechatronics”, “Engineering Service Learning” and “Unmanned Aerial Systems” for undergraduates; “Fractional Order Mechanics”, “Linear Multivariable Control”, “Nonlinear Controls” and “Advanced Controls: Optimality and Robustness” for graduates. His research interests include mechatronics for sustainability, cognitive process control (smart control engineering enabled by digital twins), small multi-UAV based cooperative multi-spectral “personal remote sensing”, applied fractional calculus in controls, modeling and complex signal processing; distributed measurement and control of distributed parameter systems with mobile actuator and sensor networks. He received Research of the Year awards from USU (2012) and UCM (2020). He was listed in Highly Cited Researchers by Clarivate Analytics in 2018, 2019, 2020 and 2021. His lab website is http://mechatronics.ucmerced.edu/??"
CCF广州分部“走进华农”暨人工智能前沿与应用报告会,,2023-05-07,地点：广州市天河区五山路483号华南农业大学数学与信息学院201,华南农业大学,https://info.scau.edu.cn/2023/0506/c12892a345243/page.htm,2023-05-06,,
学术报告：On Bartsch-Jeanjean-Soave’s open problem,报告人： 钟学秀 副研究员（华南师范大学）,2023-04-17,地点：数学与信息学院西侧205教室,华南农业大学,https://info.scau.edu.cn/2023/0417/c12892a342955/page.htm,2023-04-14,"摘要：Bose-Einstein凝聚(BEC)是椭圆偏微分方程领域的前沿热门课题。对应方程的解可以帮助人们详细地分析拓扑物体的结构和性质。当前冷原子系统提供了一个理想的平台去研究复杂的拓扑结构，作为代表，两组分的玻色爱恩斯坦凝聚(BEC)已经在实验中得到了广泛的应用。众所周知，固定频率BEC中的Sirakov 公开问题是非线性泛函分析和椭圆偏微分方程领域的一个重要公开问题。在当前比较关注的规范解问题研究中，Bartsch-Jeanjean-Soave在[JMPA,2016]也提出了一个与之平行的公开问题。报告人将汇报一下跟合作者在这个公开问题方面的一些进展(成果涉及合作者：Thomas Bartsch, 邹文明教授, Louis Jeanjean, 张建军教授)","报告人简介：钟学秀，华南师范大学副研究员，华南数学应用与交叉研究中心青年拔尖引进人才。研究方向为运用非线性分析、变分法等方法来研究几何分析学、数学物理中椭圆型偏微分方程和方程组以及某些不等式问题。主持国家青年基金和面上基金各一项，广东省基金两项，广州市基金一项。在非线性泛函分析和椭圆偏微分方程领域的Li-Lin公开问题，Bartsch-Jeanjean-Soave公开问题, Sirakov公开问题等方面获得了重要进展。已在J.Differential Geom.， Math. Ann.， Ann. Sc. Norm. Super. Pisa Cl. Sci.，Calc. Var. PDE，J. Differential Equations等国际重要刊物上发表多篇学术论文。"
学术报告：Existence and blow up behavior of positive normalized solution to the Kirchhoff equation with general nonlinearities: Mass super-critical case,报告人： 何其涵 副教授（广西大学）,2023-04-17,地点：数学与信息学院西侧205教室,华南农业大学,https://info.scau.edu.cn/2023/0417/c12892a342953/page.htm,2023-04-14,,报告人简介：何其涵，副教授，硕士生导师，现任职于广西大学数学与信息科学学院。主要研究方向是偏微分方程，现主持国家自然科学基金地区基金1项，曾主持国家自然科学基金青年基金1项，国家自然科学基金天元基金1项，广西自然科学基金青年基金1项等，参与多项省部级及以上项目。在J. Differential Equations，J. Math. Anal. Appl.， Sci. China Math.，Proc. Roy. Soc. Edinburgh Sect. A，Proc. Amer. Math. Soc. 等杂志上发表论文十多篇。
智慧农业重点实验室系列报告（一）：OpenIaC for Federated Knowledge Cloud Infrastructure and Workflow,报告人：Professor Chunming Rong（NORWAY Chair）,2023-04-08,地点：数学与信息学院201报告厅,华南农业大学,https://info.scau.edu.cn/2023/0407/c12892a341709/page.htm,2023-04-06,"摘要：To address the needs of modern information architectures, the OpenIaC (Open Infrastructure-as-Code) – “The network is my computing”, seeks to augment existing Cloud Computing and networking solutions with support for multiple cloud infrastructures and seamless integration of cloud-based microservices. The OpenIaC initiative seeks to provide a common open forum to integrate and build on advances in cloud computing and blockchain, creating of an open-source hub with fine-grained access control for an open and connected infrastructure of shared resources (sensing, storage, computing, 3D printing, etc.) managed by blockchains and federations, based on the principles of Zero Trust Architecture (ZTA) among the federation of connected resources based on Decentralized Identifiers (DIDs). The initiative has the potential to provide a path for developing new platforms, business models, and a modernized information ecosystem necessary for 5G networks. The OpenIaC has a comprehensive new approach in all OSI layers from layer 2 up to applications that are built on underlying principles that include reproducibility, continuous integration/continuous delivery, auditability, and versioning. There are obvious needs to redesign and optimize the protocols from the network layer to the application layer. The solution includes a blockchain based decentralized and distributed technology for on-the-fly dynamic control framework on shared data as well as computing at edge, allowing a user to trace, retract, remove, and limit sharing of shared content. It gives the digital right and sharing control power back to the data creator, which is often considered as lost once it is shared today. It aims to create balance between data utility and privacy, thus creating a win-win situation between organizations and their customers. ","报告嘉宾简介：Prof. Chunming Rong is the chair of IEEE CS STC on Blockchain and served as co-chair of IEEE Blockchain in 2018. He is also chair of IEEE Cloud Computing. He works as the head of the head of the Data-centered and Secure Computing (DSComputing) at the University of Stavanger (UiS) and as adjunct Senior Scientist leading Big-Data Initiative at NORCE. He is also co-founder and CEO/CTO of two start-ups bitYoga and Dataunitor in Norway, both received EU Seal of Excellence Award in 2018. He was the vice president of CSA Norway Chapter (2016-2017). His research work focuses on data science, cloud computing, security and privacy. He is an IEEE senior member and is honored as member of the Norwegian Academy of Technological Sciences (NTVA) since 2011. He has extensive contact network and projects in both the industry and academic. He is also founder and Steering Chair of IEEE CloudCom conference and workshop series. He is Editors-in-Chief of the?Journal of Cloud Computing (ISSN:?2192-113X) by Springer, and co-Editors-in-Chief of the journal “Blockchain: Research and Applications” by Elsevier, has served as the steering chair (2016-2019), and associate editor of the IEEE Transactions on Cloud Computing (TCC) since 2016. He has extensive contact network and projects in both the industry and academic. His research work focuses on cloud computing, data analytics, cyber security and blockchain. Prof. Rong has extensive experience in managing large-scale R&amp;D projects, both in Norway and EU.? "
学术报告：视觉对抗样本学习,报告人：谢晓华副教授中山大学,2023-03-21,地点：数学与信息学院201报告厅,华南农业大学,https://info.scau.edu.cn/2023/0317/c12892a339021/page.htm,2023-03-17,报告简介：本报告中将介绍对抗样本学习方面的最新研究结果。包括：1）基于对抗样本的针对Deepfake的白盒攻击技术和黑盒攻击技术。2）抵御对抗样本的小样本图像识别方法；3）利用反对抗样本改善对抗性训练的思路和效果，并探讨未来可能的研究方向。,报告人简介：谢晓华，中山大学计算机学院副教授、博士生导师。曾入选广东省科技青年拔尖人才、深圳市“孔雀计划”高层次海外B类人才。主持包括3项国家自然科学基金项目在内的纵向项目/任务十多项、横向项目7项；参与国家自然科学基金重大/重点项目、国家“863”项目5项。在包括IEEE TIP、ICCV、CVPR、ICML、AAAI在内的国际著名刊物和会议发表论文100篇，拥有国家授权发明专利25项。合作研发的嵌入式行人分析智能摄像机在十多个国家获得应用，人脸识别系统成功应用于外交部因公护照照片检测、广州市公安局 “人像应用共享服务平台”、多省市高考考生身份认证等。获2018年度广东省自然科学奖一等奖、2018年度教育部高等学校科学研究优秀成果奖（自然科学）二等奖、2020年度广东省自然科学奖二等奖。目前担任中国图象图形学学会（CSIG）广州中心秘书长、中国图象图形学学会（CSIG）竞赛与培训工作委员会副主任。
