讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
The 13th International Conference on Information Security and Cryptology,Springer-Verlag,2017-11-03,http://www.inscrypt.cn/ ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201708/t20170815_379745.html,none,"The 13th China International Conference on Information Security and Cryptology (INSCRYPT 2017) will be held in Xian from November 3rd to November 5th, 2017, organized by the State Key Laboratry of Integrated Services Networks (ISN) of Xidian University, the State Key Laboratry of Information Security (SKLOIS) of the Institute of Information Engineering of Chinese Academy of Science and the Chinese Association for Cryptologic Research (CACR). Inscrypt 2017 seeks high-quality research contributions in the form of well developed papers. Topics of interest encompass research advances in ALL areas of information security, cryptology, and their applications. The conference proceedings will be published by Springer-Verlag in LNCS series.",none
Algorithms for polynomial selection in the number field sieve,Dr Shi Bai (白石),2015-12-25,信工所3号楼3224会议室,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201512/t20151223_320358.html,none,"The general number field sieve (GNFS) is the most efficient algorithm known for factoring large integers. It consists of several stages, the first one being the polynomial selection. The running-time of the number field sieve depends on the quality of the chosen polynomials. The quality of the chosen polynomials can be modeled in terms of size and root properties. In this talk, we will describe some better algorithms to select polynomials with good size and root properties.",Dr Shi Bai is a postdoctoral research fellow at Ecole Normale Superieure Lyon. His research interests are in cryptography and computational number theory. He received his B.S. degree from China University of Mining and Technology (Beijing)  then obtained M.S and Ph.D. degrees in Computer Science under the supervision of Richard Brent from the Australian National University. He was a postdoctoral research fellow at the University of Auckland from 2013-2014. He is currently interested in number theoretical algorithms in cryptography/cryptanalysis such as algorithms for lattice-based cryptography and algorithms for integer factorization. He is a developer of the open-source software CADO-NFS for integer factorization and FPLLL for lattice reduction. He is a recipient of the best paper award in Asiacrypt 2015.
Time--Memory Trade-off Attack on the GSM A5/1 Stream Cipher Using Commodity GPGPU,吕继强,2015-12-24,中科院信息工程所3号楼3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201512/t20151218_319948.html,none,"Time--memory trade-off (TMTO) cryptanalysis is a powerful technique for practically breaking a variety of security systems in reality. There are mainly four general TMTO cryptanalysis methods, namely Hellman table cryptanalysis, rainbow table cryptanalysis, thin rainbow table cryptanalysis and thick rainbow table cryptanalysis, plus a few supplementary techniques that can be combined with a general method to produce possibly distinct TMTOs, like distinguished points. In this talk, we present a unified TMTO cryptanalysis, which we call unified rainbow table cryptanalysis, basing it on a unified rainbow table, then we describe its general combination with distinguished points, and finally we apply unified rainbow table cryptanalysis to the A5/1 stream cipher being used in the Global System for Mobile Communications (GSM). On a general-purpose graphics processing unit (GPGPU) computer with 3 NVIDIA GeForce GTX690 cards that cost about 15,000 United States dollars in total, we made a unified rainbow table of 984GB in about 55 days, and implemented a unified rainbow table attack that had an online attack time of 9 seconds with a success probability of 34% (or 56%) when using 4 (respectively, 8) known keystreams (of 114 bits long each). If two such tables of 984GB were generated, the attack would have an online attack time of 9 seconds with a success probability of 81% when using 8 known keystreams. The practical results show again that nowadays A5/1 is rather insecure in reality and GSM should no longer use it.","吕继强2000年本科毕业于烟台大学应用数学专业,2003年硕士毕业于西安电子科技大学通信与信息系统专业,2008年博士毕业于英国Royal Holloway, University of London信息安全专业。他先后在荷兰Eindhoven University of Technology和法国Ecole Normale Superieure从事博士后工作，目前是新加坡咨询通信研究院的科研人员。他的研究领域主要是对称密码学和相关的信息安全。"
Storage side channel attacks in modern OS and network stacks,"Dr. Zhiyun Qian (University of California, Riverside)",2015-12-10,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201512/t20151207_317899.html,none,"In this talk, I will introduce a class of practical storage side channel attacks against the Android OS and the TCP stacks. They lead to significant damage to user privacy, network security, application integrity. The attack in Android allows a background app to infer what the foreground app is doing without requiring any permission. Knowing the state of the foreground app, we are then able to hijack the foreground app and launch phishing attacks to steal sensitive information such as passwords and bank account info. The attack in TCP stacks allows an off-path attacker on the Internet to hijack TCP connections created between a legitimate client and server. For instance, we are able to hijack the browsers connection to facebook and replace it with a phishing login page to steal credentials. Prompted by our work, corresponding vendors (e.g., Checkpoint, Linux kernel) have proposed mitigation solutions and applied patches.","Dr. Zhiyun Qian is an assistant professor at University of California, Riverside. His research interest is on system and network security, including Android security, Internet security (e.g., TCP/IP), side-channel security, infrastructure security (e.g., cellular networks). He obtained his Ph.D. degree in Computer Science and Engineering from University of Michigan in 2012."
Every Second Counts: Quantifying the Negative Externalities of Cybercrime via Typosquatting,Dr. Zhou Li (RSA Labs),2015-11-23,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201511/t20151118_315663.html,none,"We present a strategy for quantifying the harm caused by the cybercrime of typosquatting via the novel technique of intent inference. Intent inference allows us to define a new metric for quantifying harm to users, develop a new methodology for identifying typosquatting domain names, and quantify the harm caused by various typosquatting perpetrators. We find that typosquatting costs the typical user 1.3 seconds per typosquatting event over the alternative of receiving a browser error page, and legitimate sites lose approximately 5% of their mistyped traffic over the alternative of an unregistered typo. Although on average perpetrators increase the time it takes a user to find their intended site, many typosquatters actually improve the latency between a typo and its correction, calling into question the necessity of harsh penalties or legal intervention against this flavor of cybercrime. This is a joint work with Mohammad Taha Khan, Xiang Huo and Prof. Chris Kanich University of Illinois at Chicago. This work is published by IEEE S&P 2015.","Dr. Zhou Li is a research scientist at RSA Laboratories, The Security Division of EMC. His research areas cover web security, mobile security, and genome privacy. Before joining RSA Labs, he worked as a Research Assistant at Indiana University Bloomington from 2009 to 2013 and as a Research Intern at Microsoft Research Silicon Valley in 2011. He received B.S. degree and M.S. degree in Computer Science from Wuhan University, China, and obtained a Ph.D. degree in Computer Science from Indiana University Bloomington. He has published papers in top security conferences including CCS, IEEE S&P, Usenix Security."
基于数字取证与设备管理的移动终端隐私保护 (Privacy protection of mobile devices based on digital forensics and device management),杨中皇教授,2015-11-19,信息工程所第一研究室3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201511/t20151117_315595.html,none,"2014年全球智能手机用户达13亿，智能手机销售量远超过个人电脑。移动智能终端(包含智能手机、智能手表、平板电脑等) 已成为现代人不可或缺的随身设备，越来越多的个人资料不可避免地存放在此设备中。2013年斯诺登(Snowden)揭露美国国家安全局(NSA)的“棱镜”（PRISM）监控计划，明显美国与英国等国家的情治单位通过攻击智能手机应用软件来搜集情报资料。所以移动终端的资料保护已经成为信息安全与网络空间安全的重要课题。本报告探讨移动终端的安全问题。由于移动智能终端的个人隐私资料无法以单一安全措施保护，所以基于深度防御(defense in depth)的观念，我们采用以下两种技术进行安卓(Android)终端的安全软件实践：数字取证(digital forensics)与移动设备管理(mobile device management, MDM)。数字取证软件可帮助了解终端内部的隐私资料，而MDM系统可提供终端配置与安全政策管理，避免不正确的配置导致终端的不安全。我们的MDM系统使用SCAP (Security Content Automation Protocol) 与SEAndroid技术。","杨中皇教授1958年生于台湾台北，1990年美国University of Louisiana at Lafayette计算机工程博士(由中科院曾肯成教授访问美国期间指导博士论文)，曾任美国RSA Data Security, Inc.软件研发工程师(1991)、日本电信电话公司(NTT)博士后研究员(1991-1993)、台湾的中华电信研究所“信息安全与密码技术”项目主持人(1996-1997)。此外，杨教授担任过SCI期刊IEICE Transactions on Communications副编辑(Associate Editor) (2004-2005)、Asia Joint Conference on Information Security国际会议大会共同主席(2013-2015)、韩国信息安全学会(KIISC)访问理事(2011)、台湾的信息安全学会理事长(2012-2015)等，并负责举办第二届海峡两岸信息安全研讨会(2013年9月台湾高雄召开)、第四届海峡两岸信息安全研讨会(2015年1月台湾南投召开)。目前杨教授是高雄师范大学教授、西安邮电大学特聘教授、西安电子科技大学ISN国家重点实验室客座教授。"
From Mental Poker to Core Business: Why and How to Deploy Secure Computation Protocols?,Prof. Moti Yung(Google Inc. and Columbia University),2015-11-05,中国科学院信息工程研究所3号楼3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201511/t20151104_314265.html,none,"Technological innovations in security and privacy are critical to advancing modern computing in our time. I will present an effort involving deployment of experimental commercial applications designed and built as a secure multi-party computation protocol for specific tasks, to be used repetitively to achieve a number of concrete ubiquitous business goals. In these applications, the outputs are calculated in the presence of privacy constraints which prevent parties from sharing their individual inputs directly and openly. I will also discuss what I think are the reasons for the inherent difficulty of developing such routines in general (for achieving business goals). In particular, I will survey what I believe to be the reasons that almost 40 years since secure computation protocols was invented as a basic theoretical notion, capturing specific and then general computational tasks, and in spite of its theoretical and even experimentation success, the notion has not yet been widely and seriously used in achieving routine relevant business goals (in contrast with symmetric key and public key cryptosystems and protocols, which were also proposed 40 years ago and are used extensively, primarily to implement secure authenticated channels). The presentation will also cover the general bottom up methodology used in this effort leading to the design and development process. This exemplifying methodology includes: feasibility study of the specific domain, extraction of business needs which are limited by privacy constraints, application analysis from the perspective of utility metrics and secure computing. Then, the methodology further includes design, implementation, and experimentation, guided by the analysis and employing appropriate protocols, while considering scale and performance constraints, and cost overhead that is tolerable.",none
第十一届信息安全与密码学国际会议通知,none,2015-11-01,北京友谊宾馆嘉宾楼1号会议室（北京市海淀区中关村南大街1号） ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201510/t20151016_312193.html,none,本次会议涉及网络与操作系统安全、数据库安全、无线网络安全、电子商务、信息隐藏、密码学、可证明安全、多方安全计算与安全协议、物联网安全和云计算安全等20多个主题。经过程序委员会的严格挑选，会议共录用了29篇论文（含条件录用），正式论文集将在会后由国际著名出版社Springer Verlag出版。,none
科研过程中的文献资源与服务利用,李海英（中科院文献情报中心学科馆员）,2015-09-30,3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201509/t20150923_309918.html,none,第一、中科院及信工所可用的文献资源有哪些。第二、文献情报中心提供的服务有哪些。第三、信息检索与分析简介。第四、文献管理软件Endnote简介,none
Multi-view Learning,"Prof. Dacheng Tao, University of Technology, Sydney",2015-09-22,中国科学院信息工程研究所3号楼（B2座）3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201509/t20150922_308981.html,none,"In recent years, many algorithms for learning from multi-view data by considering the diversity of different views have been proposed. These views may be obtained from multiple sources or different feature subsets. For example, a person can be identified by face, fingerprint, signature or iris with information obtained from multiple sources, while an image can be represented by its color or texture features, which can be seen as different feature subsets of the image. In this talk, we will organize the similarities and differences between a wide variety of multi-view learning approaches, highlight their limitations, and then demonstrate the basic fundamentals for the success of multi-view learning. The thorough investigation on the view insufficiency problem and the in-depth analysis on the influence of view properties (consistence and complementarity) will be beneficial for the continuous development of multi-view learning.","Dacheng Tao (F’15) is Professor of Computer Science with the Centre for Quantum Computation & Intelligent Systems, and the Faculty of Engineering and Information Technology in the University of Technology, Sydney. He mainly applies statistics and mathematics to data analytics problems and his research interests spread across computer vision, data science, image processing, machine learning, and video surveillance. His research results have expounded in one monograph and 100+ publications at prestigious journals and prominent conferences, such as IEEE T-PAMI, T-NNLS, T-IP, JMLR, IJCV, NIPS, ICML, CVPR, ICCV, ECCV, AISTATS, ICDM; and ACM SIGKDD, with several best paper awards, such as the best theory/algorithm paper runner up award in IEEE ICDM’07, the best student paper award in IEEE ICDM’13, and the 2014 ICDM 10 Year Highest-Impact Paper Award."
