,box,txt,score
0,"[[467.0, 8.0], [632.0, 11.0], [631.0, 33.0], [466.0, 30.0]]",信息科学技术学院,0.9737687110900879
1,"[[172.0, 47.0], [334.0, 47.0], [334.0, 103.0], [172.0, 103.0]]",E席谈,0.9803323149681091
2,"[[77.0, 62.0], [153.0, 62.0], [153.0, 102.0], [77.0, 102.0]]",信科,0.9523842334747314
3,"[[84.0, 124.0], [401.0, 124.0], [401.0, 170.0], [84.0, 170.0]]",青年学术沙龙,0.8269860744476318
4,"[[422.0, 144.0], [506.0, 144.0], [506.0, 174.0], [422.0, 174.0]]",第一期,0.8048757910728455
5,"[[234.0, 198.0], [608.0, 195.0], [609.0, 283.0], [234.0, 286.0]]",光子芯片,0.871273934841156
6,"[[272.0, 304.0], [623.0, 304.0], [623.0, 330.0], [272.0, 330.0]]",下一代信息量命的关键技术,0.954816997051239
7,"[[425.0, 386.0], [541.0, 386.0], [541.0, 441.0], [425.0, 441.0]]",时间,0.9978688955307007
8,"[[372.0, 456.0], [597.0, 458.0], [597.0, 490.0], [371.0, 488.0]]",9月23日（周五）,0.9474050998687744
9,"[[438.0, 507.0], [527.0, 507.0], [527.0, 542.0], [438.0, 542.0]]",19:00,0.9023512005805969
10,"[[428.0, 601.0], [539.0, 601.0], [539.0, 656.0], [428.0, 656.0]]",地点,0.7641115784645081
11,"[[115.0, 631.0], [232.0, 631.0], [232.0, 672.0], [115.0, 672.0]]",常林,0.9981576800346375
12,"[[374.0, 668.0], [601.0, 668.0], [601.0, 708.0], [374.0, 708.0]]",北京大学,0.9536619782447815
13,"[[34.0, 720.0], [338.0, 720.0], [338.0, 744.0], [34.0, 744.0]]",北京大学博雅青年学者，电子,0.9538406133651733
14,"[[388.0, 728.0], [553.0, 728.0], [553.0, 760.0], [388.0, 760.0]]",二教319,0.8579000234603882
15,"[[34.0, 751.0], [336.0, 751.0], [336.0, 772.0], [34.0, 772.0]]",学院研究员、助理教授，担任,0.9009565711021423
16,"[[34.0, 779.0], [336.0, 779.0], [336.0, 800.0], [34.0, 800.0]]",科技部重点研发计划首席科学,0.9224669337272644
17,"[[34.0, 807.0], [337.0, 807.0], [337.0, 828.0], [34.0, 828.0]]",家，北京市基金委重点顶自首,0.8709141612052917
18,"[[35.0, 837.0], [334.0, 837.0], [334.0, 855.0], [35.0, 855.0]]",常科字家，主要事集成光字子,0.7415769100189209
19,"[[34.0, 864.0], [317.0, 864.0], [317.0, 885.0], [34.0, 885.0]]",的研究，包括半导体激光器,0.9372625350952148
20,"[[45.0, 892.0], [304.0, 892.0], [304.0, 914.0], [45.0, 914.0]]",微腔光频梳、量子光学等,0.9425716400146484
