列1,列2,列3,列4,列5,列6,列7,列8,列9
讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
Differentiating Imaging Systems for Boosting 3D Perception,Wenzheng Chen University of Toronto,2023-05-09 16:00-2023-05-09 17:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/pf1RylREXVgw,清华大学,https://iiis.tsinghua.edu.cn/show-10390-1.html,2023-05-09 16:00-2023-05-09 17:00,"The ability to infer 3D properties, such as geometry, texture, material, and light from 2D photographs is one of the most fundamental problems in computer vision and plays a key in many domains such as AR/VR, robotics, autonomous driving, and Metaverse. To tackle this problem, various imaging systems and reconstruction algorithms are proposed. As a two-stage procedure, 3D perception consists of “imaging” and “reconstruction”, wherein the former involves the use of devices to measure the scene and acquire the measurement, such as photographs, while the latter applies reconstruction algorithms on the measurement to recover 3D properties. While previous methods focus more on reconstruction algorithms and ignore the knowledge in the imaging stage, in this talk, we show how to develop a holistic method to connect ‘‘imaging‘’ and ‘’reconstruction‘’ together, utilizing the information from both sides. Specifically, we propose to model various imaging systems in a differentiable way and connect them with the reconstruction algorithms, such that the information (e.g., gradients) can be freely propagated bidirectionally. Such a connection boosts 3D perception in 2 directions: “learning for imaging‘’ and “imaging for learning“. The former passes the information of imaging systems to the reconstruction algorithms, which helps design the algorithms that perfectly match the chosen imaging systems. The latter propagates the information from reconstruction algorithms to imaging systems, helping explore the best settings they should adopt under specific algorithms. We demonstrate that the proposed method brings huge improvement and successfully pushes the boundary of 3D perception.","Wenzheng Chen is a final-year Ph.D. student at University of Toronto, supervised by Prof. Sanja Fidler and Prof. Kyros Kutulakos. He is also a research scientist at NVIDIA. His research mainly focuses on the intersection of computational photography and machine learning, with a special interest in estimating 3D properties from various imaging systems. His long-term research goal is to explore all kinds of optical and physical rules in the imaging systems and combine them with deep learning to boost 3D perception. He will join PKU as an assistant professor in 2024. For more information, please visit http://www.cs.toronto.edu/~wenzheng/."
Trapped ion quantum information processing: high flexibility and high precision,汪野 and 张劼颃 合肥国家实验室 and 中国科学技术大学,2023-05-08 15:30-2023-05-08 17:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-10392-1.html,2023-05-08 15:30-2023-05-08 17:00,"Trapped atomic ions represent one of the most promising platforms for scalable quantum computing and quantum information processing. Here, we present some recent progress towards controlling such quantum systems with high tunability and high precision, composed of two parts: 1. Encoding qubits on high-dimensional non-Euclidean space (work performed at NYU); 2. High-fidelity gates in a medium-sized ion chain (work from Duke University). We briefly discuss the route towards combining large-scale with high precision.","汪野，2018年在清华大学获得博士学位，研究方向为基于囚禁离子系统的量子操控、量子模拟与相关技术研发；2018年至2022年在美国杜克大学作为博士后研究员和研究科学家参与容错量子计算及量子纠错研究。近年来主要学术成果包括：超长单量子比特相干时间；长离子链中高保真度量子纠缠门；一体式芯片离子阱；变分量子算法优化。2022年加入合肥国家实验室，主要研究方向是基于囚禁离子的量子计算以及量子纠错。
张劼颃，2009年本科毕业于中科大，2015年博士毕业于马里兰大学。博士后期间工作于Chris Monroe研究组，从事离子阱量子模拟的研究。曾在纽约大学工作，先就职于中国科学技术大学。"
基于超导平台表面码纠错的量子硬件方案优化,马雨玮 中国科学技术大学上海研究院,2023-04-29 10:00-2023-04-29 11:30,MMW-S927,清华大学,https://iiis.tsinghua.edu.cn/show-10381-1.html,2023-04-29 10:00-2023-04-29 11:30,量子计算如今正如火如荼地发展，现有的有噪声的中等规模量子芯片已经能够在特定问题上超越经典计算。为了能够解锁量子计算的全部功能，我们还需要更多的量子比特和极低错误率的量子门，也就是实现大型容错量子计算。而基于超导量子平台的表面码是最有可能实现大型容错量子计算的路线之一，近年来在国内外的实验研究也有较大的进展。本次报告讨论在实验的硬件层面优化表面码的可能方案，以进一步减少硬件资源消耗，提高纠错效果。首先会介绍一下表面码的基础理论，以及现有的基于Transmon的硬件架构和实验方案。接着讨论三种可能的硬件架构改进方案：一是错误探测的硬件实现，以增加错误探测的保真度，减少错误传播；二是基于biased qubit的XZZX码，希望能够减少硬件资源消耗；三是基于fluxonium的表面码，利用fluxonium的高相干性来提高纠错效果。,马雨玮本科毕业于清华大学物理系，博士师从清华大学交叉信息研究院的孙麓岩副教授，研究领域为超导量子计算。在博士期间，马雨玮的主要研究方向为基于二项式玻色码的量子纠错，在世界知名期刊上发表了多篇论文。现在马雨玮在中国科技大学上海研究院从事博士后工作，主要研究方向为基于表面码的量子纠错。
Global Quantum Communication Network and Future Aspects,Yu-Ao Chen University of Science and Technology of China,2023-04-28 16:00-2023-04-28 17:00,FIT 1-315,清华大学,https://iiis.tsinghua.edu.cn/show-10386-1.html,2023-04-28 16:00-2023-04-28 17:00,"Quantum information science and technology enables informational secure quantum cryptography (quantum communication). This presentation will highlight a few of our progress towards the ultimate goal of global quantum communication. We have established a trustful-relay based Backbone connecting Beijing to Shanghai passing through Jinan and Hefei, four metropolitan networks, over 2000-km fiber links. Currently real-world applications by banks, securities and insurance companies are on trial. Another complementing route is to attain global quantum communication based on satellite. We have spent the past decade in performing systematic ground tests for satellite-based quantum communications. Our efforts finally ensure a successful launch of the Micius satellite. Future Prospects include building a global quantum communication infrastructure with satellite and fiber networks, enormous spatial resolution and global precise timing information sharing networks with applications for the global quantum communication network, ultra-precise optical clocks in outer space to detect gravitational wave signal with lower frequency, and Bell-test experiment with human-observer at a distance on the order of one light-second.","陈宇翱，中国科学技术大学教授、物理学院执行院长、美国光学学会会士(Optica Fellow)，物理学会会士（APS Fellow）。长期从事量子物理基础实验研究，致力发展光与冷原子量子调控技术并系统地应用于量子通信、量子计算和精密测量等多个量子信息研究方向，取得了一系列重要研究成果，并获得广泛的关注。作为项目工程总师，陈宇翱教授和同事们一起完成了国家发改委量子保密通信京沪干线工程，结合量子科学实验卫星，实现了目前世界上空间尺度最大、规模最大的星地广域量子通信网络。主持和参与的研究成果多次入选英国物理学会美国物理学会的年度亮点，多次入选两院院士评选的""年度中国科技十大进展新闻""。获欧洲物理学会菲涅尔奖，中国科学院""青年科学家奖""，求是杰出青年学者奖，国家自然科学一等奖（第三完成人），陈嘉庚青年科学家奖，国家杰出青年科学基金，国际纯粹与应用物理联合会原子分子物理分会青年科学家奖，科学探索奖。"
A universal theory of spin squeezing and the experimental realization,Bingtian Ye Harvard University,2023-04-28 15:00-2023-04-28 16:00,FIT 1-315,清华大学,https://iiis.tsinghua.edu.cn/show-10384-1.html,2023-04-28 15:00-2023-04-28 16:00,"Quantum metrology makes use of many-body entangled states to perform measurements with greater precision than would be possible using only classically correlated particles. Discerning states suitable for quantum metrology is a delicate task: nearly all states in Hilbert space are highly entangled, but nearly none of them exhibit the structured entanglement required for enhanced sensing. Identifying universal principles for finding metrologically-useful states remains a long-standing challenge, especially in the context of efficiently preparing such states from unentangled product states. One such principle stems from the observation that the metrological gain from a pure state is fundamentally connected to spontaneous symmetry breaking. In this work, we apply this principle to the case of U(1) symmetry breaking and provide extensive numerical and analytical evidence for the following conjecture: Finite-temperature easy-plane ferromagnetism (i.e. XY magnets) enables scalable spin squeezing. In particular, we consider the quench dynamics of a low-energy initial state and show it undergoes squeezing as a precursor to the equilibration of long-range order. In particular, we establish a phase diagram for spin-squeezing, and demonstrate that the phase transition precisely coincides with the phase boundary for finite-temperature XY order. Moreover, we show that the squeezing manifests a novel scaling with system size that leads to a sensitivity ∼ N- 10 7 , in between the standard quantum limit ∼ N- 1 2 and the Heisenberg limit ∼ N-1. Finally, I will present two experimental pursuits to realize scalable spin squeezing. In a 87Rb atom tweezer array, we observe scalable spin squeezing with the presence of dipolar XY interaction. Recently developed technique to implant nitrogenvacancy defects in a 2D layer may also enable scalable squeezing in solid state systems, which paves a more practical way to implement spin squeezing in real-life quantum sensing.","Bingtian is a physics PhD candidate at Harvard University, advised by Prof. Norman Y. Yao. He received his Bachelor’s degree in physics from Peking University. His research lies at the interface between condensed matter theory and atomic, molecular and optical theory. He is particularly interested in non-equilibrium dynamics of quantum systems."
Exploring the critical physics with a reconfigurable Rydberg atom array in optical tweezers,Yu Wang Harvard University,2023-04-27 15:30-2023-04-27 16:30,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-10383-1.html,2023-04-27 15:30-2023-04-27 16:30,"Recently, Rydberg atoms trapped in optical tweezer has been a central topic of intense research interest with application ranging from quantum metrology, quantum simulation and quantum computation. Based on the technique of adiabatic preparation of the manybody ground state with the reconfigurable Rydberg array, we could probe the critical physics predicted by conformal field theory. In this talk, I will describe how we build up the system and adiabatically prepare the ground state. With the existence of various practical imperfections, we performed numerical and experimental investigation of possible error sources and achieved quantitative agreements with the CFT results of the scaling components. With some technical upgrade, it could provide predictions in higher dimensions. This platform also paves the way for a dual-species Rydberg platform with the possible application of measurement assisted long-range entanglement and scalable quantum error correction.","Wang Yu, PhD student at Department of Physics, Harvard University."
Reconstructing the Tree of Life (Fitting Distances by Tree Metrics),Mikkel Thorup University of Copenhagen,2023-04-27 14:00-2023-04-27 15:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-10376-1.html,2023-04-27 14:00-2023-04-27 15:00,"We consider the numerical taxonomy problem of fitting an SxS distance matrix D with a tree metric T. For some k, we want to minimize the L_k norm of the errors, that is,
Pick T so as to minimize (sum_{i,j in S} |D(i,j)-T(i,j)|^k)^{1/k}
This problem was raised in biology in the 1960s for k=1,2. The biological interpretation is that T represents a possible evolution behind the species in S matching some measured distances in D. Sometimes, it is required that T is an ultrametric, meaning that all species are at the same distance from the root.
An Evolutionary tree induces a hierarchical classification of species and this is not just tied to biology. Medicine, ecology and linguistics are just some of the fields where this concept appears, and it is even an integral part of machine learning and data science. Fundamentally, if we can approximate distances with a tree, then they are much easier to reason about: many questions that are NP-hard for general metrics can be answered in linear time on tree metrics. In fact, humans have appreciated hierarchical classifications at least since Plato and Aristotle (350 BC).
We will review the basic results on the problem, including the most recent result from FOCS'21 https://arxiv.org/abs/2110.02807. They paint a varied landscape with big differences between different moments, and with some very nice open problems remaining.
At STOC'93, Farach, Kannan, and Warnow proved that under L_infty, we can find the optimal ultrametric. Almost all other variants of the problem are APX-hard.
At SODA'96, Agarwala, Bafna, Farach, Paterson, and Thorup showed that for any norm L_k, k>=1, if the best ultrametric can be A-approximated, then the best tree metric can be 3A-approximated. In particular, this implied a 3-approximation for tree metrics under L_infty.
At FOCS'05, Ailon and Charikar showed that for any L_k, k>=1, we can get an O(((log n)(loglog n))^{1/k}) approximation for both tree and ultrametrics. Their paper was focused on the L_1 norm, and they wrote ``Determining whether an O(1) approximation can be obtained is a fascinating question"".
At FOCS'21, Cohen-Addad, Das, Kipouridis, Parotsidis, and Thorup showed that indeed a constant factor is possible for L_1 for both tree and ultrametrics. This uses the special structure of L_1 in relation to hierarchies.
The status of L_k is open for 1
Joint work with Vincent Cohen-Addad, Debarati Das, Evangelos Kipouridis and Nikos Parotsidis.","Mikkel Thorup (born 1965) has a D.Phil. from Oxford University from 1993. From 1993 to 1998 he was at the University of Copenhagen. From 1998 to 2013 he was at AT&T Labs-Research. Since 2013 he has been back as Professor at the University of Copenhagen. He is currently a VILLUM Investigator heading Center for Basic Algorithms Research Copenhagen (BARC).
Mikkel Thorup is a Fellow of the ACM and of AT&T, and a Member of the Royal Danish Academy of Sciences and Letters. He is co-winner of the 2011 MAA Robbins Award in mathematics and winner of the 2015 Villum Kann Rasmussen Award for Technical and Scientific Research, which is Denmark's biggest individual prize for research. His main work is in algorithms and data structures, where he has worked on both upper and lower bounds. Recently one of his main focusses has been on hash functions unifying theory and practice. Mikkel prefers to seek his mathematical inspiration in nature, combining the quest with his hobbies of bird watching and mushroom picking."
Quantum computing with atoms,Xiaopeng Li Fudan University,2023-04-24 10:00-2023-04-24 11:00,FIT 1-222,清华大学,https://iiis.tsinghua.edu.cn/show-10375-1.html,2023-04-24 10:00-2023-04-24 11:00,"Atoms are natural qubits for their fundamental property of being identical, and the consequent convenience in achieving scalable quantum control of large number of qubits. The atomic platform becomes particularly attractive with recent developments of optical tweezer and digital micromirror device techniques, where spatial resolved control of atoms is now feasible and advancing rapidly. This talk will present several protocols for atoms to perform quantum computing and solve difficult problems. I will describe a local quantum annealing architecture, by which atoms can be used for solving binary optimization. This has wide applications in factorization, combinatorial optimization, and graph partitioning. Then I will present a quantum kernel function expansion algorithm, for finite temperature quantum simulations. In this algorithm, the temperature dependence of observables is expanded in terms of complete basis functions, and the expansion moments are obtained on a quantum circuit. This quantum algorithm has a natural realization considering Rydberg atoms.","Xiaopeng Li is professor of physics in the Physics Department of Fudan University, China, jointly employed by Shanghai Qi Zhi Institute. He is active in quantum information science and condensed-matter theories, with his primary research interests in exploiting the quantum computation power of various quantum simulation platforms. He received his Ph.D. in physics from the University of Pittsburgh in 2013 and joined Fudan University as a faculty member in 2016 after three years at the University of Maryland, supported by a Joint Quantum Institute theoretical postdoctoral fellowship. He has been a full professor since 2019."
Long Distance Quantum Key Distribution,Lai Zhou Beijing Academy of Quantum Information Sciences,2023-04-21 14:00-2023-04-21 15:00,MMW-S327,清华大学,https://iiis.tsinghua.edu.cn/show-10374-1.html,2023-04-21 14:00-2023-04-21 15:00,"Quantum cryptography promises secure communication between two distant users. However, secure key rate of point-point quantum key distribution (QKD) is bounded by the linear rate-loss limit. Twin-field (TF) QKD can break this limit but its implementation requires global phase tracking and usually also cumbersome interferometric implementations, which are often impractical for network deployment. We remove the above shortcomings with two different solutions. In the first solution, we introduce locally generated frequency combs to stabilise an open channel, and develop a simple and versatile TF-QKD setup that does not need service fibre [1]. In the second, we implement a simple measurement device independent (MDI) QKD with post-measurement pairing technique. We demonstrate the capability of asynchronous MDI-QKD (also named mode-pairing MDI-QKD) overcoming the linear rate-loss limit without global phase tracking [2].
[1] L. Zhou, J. Lin, Y. Jing and Z.. Yuan, Nat. Commun. 14, 928 (2023).
[2] L. Zhou, J. Lin, Y. Xie, Y. Lu, Y. Jing, H. Yin and Z. Yuan, arXiv: 2212.14190 (2022), to appear in PRL.","Dr. Lai Zhou received the B.S. and Ph.D. degrees from Tsinghua University in 2013 and 2018, respectively. He was a postdoctor at the University of Oxford in 2019. Since February 2020, he has been an assistant researcher at Beijing Academy of Quantum Information Sciences. His research interests include long distance quantum key distribution and quantum networks."
