讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
信科“E席谈”青年学术沙龙（第十三期）——数字角色的建模与动画,刘利斌,6月9日（周五）晚19:00,北京大学理科一号楼1127,北京大学,https://eecs.pku.edu.cn/info/1050/5683.htm,2023-06-08,,
北京大学显示技术系列讲座第2期——Micro-LED显示技术发展与产业进程, ,"
    2023年6月6日（周二）晚18:40-20:30", ,北京大学,https://eecs.pku.edu.cn/info/1050/5673.htm,2023-06-05,"
在Big Data、Open AI、边缘计算等新兴技术的强力推动下，作为信息化载体和窗口的新型显示技术也在加速更新迭代。Micro-LED是新型显示、半导体、LED等攻略性领域的共同作用力结果，在亮度、功耗、效率、体积、重量、环境适应度等方面具有显著优势。随着市场的关注热度持续增长，Micro-LED的技术瓶颈与成本等产业化问题也逐渐显露。","
张珂："
信息科学技术学院“知存讲座”（第十期）——5.5G若干技术演进方向的思考,,6月2日（周五）晚19：00,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5661.htm,2023-05-31,,
信科“E席谈”青年学术沙龙（第十二期）——走向通用家用机器人的具身智能之路,,5月26日（周五）晚19:00,北京大学理科一号楼1127,北京大学,https://eecs.pku.edu.cn/info/1050/5656.htm,2023-05-25,,
信科“E席谈”青年学术沙龙(第十一期)——纳米材料与技术,,5月12日（周五）晚19:00,北京大学理科一号楼1131,北京大学,https://eecs.pku.edu.cn/info/1050/5655.htm,2023-05-10,,
信息科学技术学院“知存讲座”（第九期）——AI大模型带来算力基础的改变,,4月28日（周五）晚18:40,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5579.htm,2023-04-26,,
信科“E席谈”青年学术沙龙（第十期）——芯片设计自动化—卡硬件“脖子”的软件技术,,4月21日（周五）晚19:00,北京大学理科一号楼1126,北京大学,https://eecs.pku.edu.cn/info/1050/5562.htm,2023-04-19,,
北京大学显示技术系列讲座第1期——OLED显示技术前沿,"
Bonggeum Lee 博士，天马微电子OLED研发中心高级总监","
2023年4月18日（周二）晚18:40-20:30","
理科一号楼1126",北京大学,https://eecs.pku.edu.cn/info/1050/5560.htm,2023-04-16,"讲座简介
随着科技的进步，以AI，5G等为主的第四次工业革命时代来临，给显示行业带来了新的机会。在诸多显示技术中，OLED（organic light emitting diodes）技术由于其高对比度，可透明，无限可能的屏幕形态（可弯曲，可折叠，可卷曲）等特性，被显示行业广泛接受并成为当下显示行业的主流，在过去短短的几年时间里，中国国内有十几条OLED面板生产线正式宣告投建，天马、京东方，维信诺，华星光电等面板大厂无一不在投资布局OLED产业。本讲座将带领大家一起回顾显示技术的发展趋势，并系统性地介绍OLED的工作原理、基本结构、制造工艺以及其中的技术问题，从基础出发，理论与产线实际结合，技术与市场融汇，让大家了解OLED显示行业的真正面貌。","专家简介

Bonggeum Lee，现任天马微电子股份有限公司OLED研发中心高级总监；2007年毕业于日本横滨国立大学获博士学位，2007-2018年在世界一流显示公司LG显示担任责任研究员，2018-2022年担任柔宇显示技术有限公司研发副总经理，2022年加入天马微电子股份有限公司任OLED研发中心高级总监；具有16年以上的OLED显示行业经验，积累了丰富的技术开发以及量产导入的经验，对OLED显示技术中的背板、OLED、模组、面板设计以及驱动芯片技术都有深入的了解和开发经验，获得显示相关专利50多项，带领团队开发了世界第一款中大尺寸透明OLED显示、世界第一款量产柔性OLED手机、世界第一款OLED折叠手机，并突破了打印OLED技术瓶颈，建立了打印OLED技术标准。"
信息科学技术学院“知存讲座”（第八期）,,4月14日（周五）晚18:40,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5534.htm,2023-04-12,,
信息科学技术学院“知存讲座”（第七期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5511.htm,2023-04-03,,
信科“E席谈”青年学术沙龙（第九期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5498.htm,2023-03-29,,
信息科学技术学院“知存讲座”（第六期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5487.htm,2023-03-22,,
信科“E席谈”青年学术沙龙（第八期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5472.htm,2023-03-16,,
信息科学技术学院“知存讲座”（第五期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5443.htm,2023-03-09,,
信科“E席谈”青年学术沙龙（第七期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5442.htm,2023-03-02,,
信科“E席谈”青年学术沙龙（第十三期）——数字角色的建模与动画,刘利斌,6月9日（周五）晚19:00,北京大学理科一号楼1127,北京大学,https://eecs.pku.edu.cn/info/1050/5683.htm,2023-06-08,,
北京大学显示技术系列讲座第2期——Micro-LED显示技术发展与产业进程, ,"
    2023年6月6日（周二）晚18:40-20:30", ,北京大学,https://eecs.pku.edu.cn/info/1050/5673.htm,2023-06-05,"
在Big Data、Open AI、边缘计算等新兴技术的强力推动下，作为信息化载体和窗口的新型显示技术也在加速更新迭代。Micro-LED是新型显示、半导体、LED等攻略性领域的共同作用力结果，在亮度、功耗、效率、体积、重量、环境适应度等方面具有显著优势。随着市场的关注热度持续增长，Micro-LED的技术瓶颈与成本等产业化问题也逐渐显露。","
张珂："
信息科学技术学院“知存讲座”（第十期）——5.5G若干技术演进方向的思考,,6月2日（周五）晚19：00,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5661.htm,2023-05-31,,
信科“E席谈”青年学术沙龙（第十二期）——走向通用家用机器人的具身智能之路,,5月26日（周五）晚19:00,北京大学理科一号楼1127,北京大学,https://eecs.pku.edu.cn/info/1050/5656.htm,2023-05-25,,
信科“E席谈”青年学术沙龙(第十一期)——纳米材料与技术,,5月12日（周五）晚19:00,北京大学理科一号楼1131,北京大学,https://eecs.pku.edu.cn/info/1050/5655.htm,2023-05-10,,
信息科学技术学院“知存讲座”（第九期）——AI大模型带来算力基础的改变,,4月28日（周五）晚18:40,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5579.htm,2023-04-26,,
信科“E席谈”青年学术沙龙（第十期）——芯片设计自动化—卡硬件“脖子”的软件技术,,4月21日（周五）晚19:00,北京大学理科一号楼1126,北京大学,https://eecs.pku.edu.cn/info/1050/5562.htm,2023-04-19,,
北京大学显示技术系列讲座第1期——OLED显示技术前沿,"
Bonggeum Lee 博士，天马微电子OLED研发中心高级总监","
2023年4月18日（周二）晚18:40-20:30","
理科一号楼1126",北京大学,https://eecs.pku.edu.cn/info/1050/5560.htm,2023-04-16,"讲座简介
随着科技的进步，以AI，5G等为主的第四次工业革命时代来临，给显示行业带来了新的机会。在诸多显示技术中，OLED（organic light emitting diodes）技术由于其高对比度，可透明，无限可能的屏幕形态（可弯曲，可折叠，可卷曲）等特性，被显示行业广泛接受并成为当下显示行业的主流，在过去短短的几年时间里，中国国内有十几条OLED面板生产线正式宣告投建，天马、京东方，维信诺，华星光电等面板大厂无一不在投资布局OLED产业。本讲座将带领大家一起回顾显示技术的发展趋势，并系统性地介绍OLED的工作原理、基本结构、制造工艺以及其中的技术问题，从基础出发，理论与产线实际结合，技术与市场融汇，让大家了解OLED显示行业的真正面貌。","专家简介

Bonggeum Lee，现任天马微电子股份有限公司OLED研发中心高级总监；2007年毕业于日本横滨国立大学获博士学位，2007-2018年在世界一流显示公司LG显示担任责任研究员，2018-2022年担任柔宇显示技术有限公司研发副总经理，2022年加入天马微电子股份有限公司任OLED研发中心高级总监；具有16年以上的OLED显示行业经验，积累了丰富的技术开发以及量产导入的经验，对OLED显示技术中的背板、OLED、模组、面板设计以及驱动芯片技术都有深入的了解和开发经验，获得显示相关专利50多项，带领团队开发了世界第一款中大尺寸透明OLED显示、世界第一款量产柔性OLED手机、世界第一款OLED折叠手机，并突破了打印OLED技术瓶颈，建立了打印OLED技术标准。"
信息科学技术学院“知存讲座”（第八期）,,4月14日（周五）晚18:40,北京大学理教106,北京大学,https://eecs.pku.edu.cn/info/1050/5534.htm,2023-04-12,,
信息科学技术学院“知存讲座”（第七期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5511.htm,2023-04-03,,
信科“E席谈”青年学术沙龙（第九期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5498.htm,2023-03-29,,
信息科学技术学院“知存讲座”（第六期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5487.htm,2023-03-22,,
信科“E席谈”青年学术沙龙（第八期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5472.htm,2023-03-16,,
信息科学技术学院“知存讲座”（第五期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5443.htm,2023-03-09,,
信科“E席谈”青年学术沙龙（第七期）,,,,北京大学,https://eecs.pku.edu.cn/info/1050/5442.htm,2023-03-02,,
